sample,dataset,step,pixelsize,exp time,filter,energy,n_proj,angle end,average,reconstructed,algorithm,COR,overlap,remove stripe,sino_start,sino_end,proj_start,proj_end,Data_min,Data_max,phase_object,sdd,alpha,pad,recon_dir,note
,240527_pt015_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles_2-20240527T101702,,1.3,,,36,3601,,,,gridrec,1274.5,370,,0,2160,0,3601,-0.0002,0.00104,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt015_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles_2-20240527T101702/recon_phase,
,240527_pv039_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T104019,,1.3,,,36,3601,,,,gridrec,1279.5,370,,0,2160,0,3601,-0.0002,0.00104,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv039_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T104019/recon_phase,
,240527_pv039_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T111949,,1.3,,,36,3601,,,,gridrec,1275,370,,0,2160,0,3601,-0.00014,0.00142,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv039_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T111949/recon_phase,
,240527_pv039_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T114021,,1.3,,,36,3601,,,,gridrec,1275,370,,0,2160,0,3601,-0.00024,0.00096,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv039_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T114021/recon_phase,
,240527_pt015_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles_2nd-20240527T121305,,1.3,,,36,3601,,,,gridrec,1277,370,,0,2160,0,3601,-0.00024,0.00096,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt015_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles_2nd-20240527T121305/recon_phase,
,240527_pv004_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T123454,,1.3,,,36,3601,,,,gridrec,1279,370,,0,2160,0,3601,-0.00024,0.00096,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv004_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T123454/recon_phase,
,240527_pv004_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T131717,,1.3,,,36,3601,,,,gridrec,1277,370,,0,2160,0,3601,-0.00024,0.00096,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv004_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T131717/recon_phase,
,240527_pv004_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T133510,,1.3,,,36,3601,,,,gridrec,1277,370,,0,2160,0,3601,-0.00024,0.00096,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv004_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T133510/recon_phase,
,240527_pm029_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T140355,,1.3,,,36,3601,,,,gridrec,1279,370,,0,2160,0,3601,-0.00024,0.00096,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm029_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T140355/recon_phase,
,240527_pm029_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T144259,,1.3,,,36,3601,,,,gridrec,1277,370,,0,2160,0,3601,-0.00024,0.00096,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm029_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T144259/recon_phase,
,240527_pm029_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T144259,,1.3,,,36,3601,,,,gridrec,1277,370,,0,2160,0,3601,0,0,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm029_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T144259/recon_phase,
,240527_pm029_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T150504,,1.3,,,36,3601,,,,gridrec,1277,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm029_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T150504/recon_phase,
,240527_pt041_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T152800,,1.3,,,36,3601,,,,gridrec,1280,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt041_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T152800/recon_phase,
,240527_pt041_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T155609,,1.3,,,36,3601,,,,gridrec,1278.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt041_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T155609/recon_phase,
,240527_pt041_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T161733,,1.3,,,36,3601,,,,gridrec,1277.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt041_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T161733/recon_phase,
,240527_pg008_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T165318,,1.3,,,36,3601,,,,gridrec,1280.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg008_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T165318/recon_phase,
,240527_pg008_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T172909,,1.3,,,36,3601,,,,gridrec,1279,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg008_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T172909/recon_phase,
,240527_pg008_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T174653,,1.3,,,36,3601,,,,gridrec,1277.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg008_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T174653/recon_phase,
,240527_pm022_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T182025,,1.3,,,36,3601,,,,gridrec,1278.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm022_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T182025/recon_phase,
,240527_pm022_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T185319,,1.3,,,36,3601,,,,gridrec,1280.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm022_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T185319/recon_phase,
,240527_pm022_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T192210,,1.3,,,36,3601,,,,gridrec,1277.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm022_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T192210/recon_phase,
,240527_pv036_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T201614,,1.3,,,36,3601,,,,gridrec,1279,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv036_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T201614/recon_phase,
,240527_pv036_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T203315,,1.3,,,36,3601,,,,gridrec,1279,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv036_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T203315/recon_phase,
,240527_pv036_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T205819,,1.3,,,36,3601,,,,gridrec,1277.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv036_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T205819/recon_phase,
,240527_pt044_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T212346,,1.3,,,36,3601,,,,gridrec,1278,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt044_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T212346/recon_phase,
,240527_pt044_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T214652,,1.3,,,36,3601,,,,gridrec,1277,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt044_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T214652/recon_phase,
,240527_pt044_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T220956,,1.3,,,36,3601,,,,gridrec,1274,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pt044_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T220956/recon_phase,
,240527_pg010_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T223611,,1.3,,,36,3601,,,,gridrec,1278.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg010_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T223611/recon_phase,
,240527_pg010_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T230258,,1.3,,,36,3601,,,,gridrec,1279.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg010_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T230258/recon_phase,
,240527_pg010_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T231957,,1.3,,,36,3601,,,,gridrec,1278,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg010_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T231957/recon_phase,
,240527_pv002_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T235258,,1.3,,,36,3601,,,,gridrec,1279.5,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv002_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T235258/recon_phase,
,240527_pv002_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240528T003045,,1.3,,,36,3601,,,,gridrec,1279,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv002_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240528T003045/recon_phase,
,240527_pv002_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240528T005121,,1.3,,,36,3601,,,,gridrec,1279,370,,0,2160,0,3601,-0.00023,0.00112,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv002_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240528T005121/recon_phase,
,240527_pg033_w1_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T010829,,1.3,,,36,3601,,,,gridrec,1270,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg033_w1_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T010829/recon_phase,
,240527_pg033_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T014338,,1.3,,,36,3601,,,,gridrec,1277,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg033_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T014338/recon_phase,
,240527_pg033_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T020129,,1.3,,,36,3601,,,,gridrec,1280,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pg033_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T020129/recon_phase,
,240526_pm023_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T144201,,1.3,,,36,3601,,,,gridrec,1279,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240526_pm023_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T144201/recon_phase,
,240526_pm028_w1_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T124502,,1.3,,,36,3601,,,,gridrec,1279,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240526_pm028_w1_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T124502/recon_phase,
,240526_pm028_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T122408,,1.3,,,36,3601,,,,gridrec,1280,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240526_pm028_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T122408/recon_phase,
,240526_pm028_w3_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T133712,,1.3,,,36,3601,,,,gridrec,1274,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240526_pm028_w3_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240526T133712/recon_phase,
,240526_pt013_w2_36eV_360deg_0p120s_60mm_1p3um_7201angles-20240526T020016,,1.3,,,36,7201,,,,gridrec,1275,1416,,0,2160,0,7201,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240526_pt013_w2_36eV_360deg_0p120s_60mm_1p3um_7201angles-20240526T020016/recon_phase,
,240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114,,0.23,,,20,1801,,,,gridrec,1159,1416,,0,2160,0,1801,-0.00045,0.001926,1,20,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114/recon_phase,
,240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114,,0.23,,,20,1801,,,,gridrec,1159,1416,,0,2160,0,1801,-0.00045,0.001926,1,20,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114/recon_phase,
,240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114,,0.33,,,20,1801,,,,gridrec,1159,1416,,0,2160,0,1801,-0.0008,0.003,1,20,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114/recon_phase_alpha0.0002,
,240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114,,0.33,,,20,1801,,,,gridrec,1159,1416,,0,2160,0,1801,-0.0044,0.011,0,20,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114/recon,
,240527_pv039_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T104019,,1.3,,,36,3601,,,,gridrec,1280,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv039_w1_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T104019/recon_phase,
,240527_pv039_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T111949,,1.3,,,36,3601,,,,gridrec,1278,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv039_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T111949/recon_phase,
,240527_pv039_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T111949,,1.3,,,36,3601,,,,gridrec,1276,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv039_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T111949/recon_phase,
,240527_pv039_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T114021,,1.3,,,36,3601,,,,gridrec,1274.5,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pv039_w3_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T114021/recon_phase,
,240527_pm027_w1_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T023305,,1.3,,,36,3601,,,,gridrec,1278,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm027_w1_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T023305/recon_phase,
,240527_pm027_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T025106,,1.3,,,36,3601,,,,gridrec,1278.5,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm027_w2_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T025106/recon_phase,
,240527_pm027_w3_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T030315,,1.3,,,36,3601,,,,gridrec,1298,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm027_w3_36keV_180deg_0p0750s_60mm_1p3um_3601angles-20240527T030315/recon_phase,
,240527_pm029_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T144259,,1.3,,,36,3601,,,,gridrec,1277,1416,,0,2160,0,3601,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240527_pm029_w2_36keV_180deg_0p075s_60mm_1p3um_3601angles-20240527T144259/recon_phase,
,240526_pt013_w2_36eV_360deg_0p120s_60mm_1p3um_7201angles-20240526T020016,,1.3,,,36,7201,,,,gridrec,1275.5,1416,,0,2160,0,7201,-0.0004,0.001,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240526_pt013_w2_36eV_360deg_0p120s_60mm_1p3um_7201angles-20240526T020016/recon_phase,
,240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114,,0.33,,,20,1801,,,,gridrec,1158,1416,,0,2160,0,1801,-0.0008,0.003,1,20,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV036_HR_20kev_0p33um_2s_20mm_180deg_1801angles_2nd-20240531T165114/recon_phase,
,240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730,,0.33,,,20,3001,,,,gridrec,1170,1416,,0,2160,0,3001,-0.0008,0.003,1,20,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730/recon_phase,
,240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730,,0.33,,,20,3001,,,,gridrec,1170,1416,,0,2160,0,3001,-0.0008,0.003,1,20,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730/recon_phase,
,240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730,,0.325,,,20,3001,,,,gridrec,1169.5,1416,,0,2160,0,3001,-0.0044,0.003,0,95,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730/recon,
,240531_PM019_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T212922,,0.325,,,20,3001,,,,gridrec,1173,1416,,0,2160,0,3001,-0.0044,0.003,0,95,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PM019_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T212922/recon,
,240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730,,0.33,,,20,3001,,,,gridrec,1169.5,1416,,0,2160,0,3001,-0.0008,0.003,1,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730/recon_phase,
,240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730,,0.33,,,20,3001,,,,gridrec,1169.5,1416,,0,2160,0,3001,-0.0044,0.011,0,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PV001_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T192730/recon,
,240531_PM019_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T212922,,0.33,,,20,3001,,,,gridrec,1173,1416,,0,2160,0,3001,-0.0008,0.003,1,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PM019_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T212922/recon_phase,
,240531_PM019_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T212922,,0.33,,,20,3001,,,,gridrec,1173,1416,,0,2160,0,3001,-0.0044,0.011,0,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PM019_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T212922/recon,
,240531_PT013_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T233710,,0.33,,,20,3001,,,,gridrec,1165.5,1416,,0,2160,0,3001,-0.0008,0.003,1,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PT013_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T233710/recon_phase,
,240531_PT013_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T233710,,0.325,,,20,3001,,,,gridrec,1165,1416,,0,2160,0,3001,-0.0044,0.011,0,95,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PT013_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T233710/recon,
,240531_PT013_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T233710,,0.325,,,20,3001,,,,gridrec,1165,1416,,0,2160,0,3001,-0.0044,0.011,0,95,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PT013_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240531T233710/recon,
,240531_PG011_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T015151,,0.33,,,20,3001,,,,gridrec,1171,1416,,0,2160,0,3001,-0.0008,0.003,1,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PG011_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T015151/recon_phase,
,240531_PG011_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T015151,,0.33,,,20,3001,,,,gridrec,1171,1416,,0,2160,0,3001,-0.0044,0.011,0,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PG011_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T015151/recon,
,240531_PG034_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T034127,,0.33,,,20,3001,,,,gridrec,1157,1416,,0,2160,0,3001,-0.0008,0.003,1,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PG034_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T034127/recon_phase,
,240531_PG034_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T034127,,0.325,,,20,3001,,,,gridrec,1156.5,1416,,0,2160,0,3001,-0.0044,0.011,0,95,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PG034_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T034127/recon,
,240531_PT040_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T054834,,0.33,,,20,3001,,,,gridrec,1157,1416,,0,2160,0,3001,-0.0008,0.003,1,10,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PT040_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T054834/recon_phase,
,240531_PT040_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T054834,,0.325,,,20,3001,,,,gridrec,1157.5,370,,0,2160,0,3001,-0.0044,0.011,0,95,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PT040_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T054834/recon,
,240531_PT040_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T054834,,0.33,,,20,3001,,,,gridrec,1157.5,370,,0,2160,0,3001,-0.0008,0.003,TRUE,10,0.0002,TRUE,/PETRA/SED/BEATS/SEM_6_recon/20235124/240531_PT040_HR_20kev_0p33um_1p5s_20mm_180deg_3001angles-20240601T054834/recon_phase,