Date,Species,Sample number,Sample file name,Sample file name rest,Number of scan,Notes
20240630,Haplotype 1a,596,POCC,1,2,
20240630,P.meandrina,452,POCC,2,2,
20240630,P.effusa,417,POCC,3,2,
20240630,Haplotype 1a,431,POCC,4,2,
20240630,P.meandrina,538,POCC,5,2,
20240630,Haplotype 1a,451,POCC,6,2,the second scan is 4mm bellow
20240630,Haplotype 1a,429,POCC,7,2,
20240630,P.tuahiniensis,421,POCC,8,2,
20240630,P.acuta,454,POCC,9,2,
20240630,P.tuahiniensis,552,POCC,10,2,
20240630,P.acuta,546,POCC,11,2,
20240630,P.effusa,419,POCC,13,2,